Participant ID,Game,Arousal,Valence,Dominance,Type
1,HVHA,4,4,3,FS
2,HVHA,3,5,1,VR
3,HVHA,4,3,2,FS
4,HVHA,5,5,3,VR
5,HVHA,4,4,3,VR
6,HVHA,5,2,2,FS
7,HVHA,5,4,3,VR
8,HVHA,5,4,2,FS
9,HVHA,4,3,3,FS
10,HVHA,4,5,2,VR
11,HVHA,4,2,4,FS
12,HVHA,4,3,2,FS
13,HVHA,5,5,4,VR
14,HVHA,5,1,1,VR
15,HVHA,4,4,3,FS
16,HVHA,5,5,1,VR
17,HVHA,4,4,1,VR
18,HVHA,4,4,1,FS
19,HVLA,3,4,4,FS
20,HVLA,3,4,3,VR
21,HVLA,1,4,2,FS
22,HVLA,4,4,2,VR
23,HVLA,2,4,2,FS
24,HVLA,5,4,1,VR
25,HVLA,2,5,4,FS
26,HVLA,4,5,1,VR
27,HVLA,2,2,4,FS
28,HVLA,3,3,2,VR
29,HVLA,5,3,1,VR
30,HVLA,3,3,2,FS
31,HVLA,3,5,1,VR
32,HVLA,2,3,2,FS
33,LVHA,2,2,3,FS
34,LVHA,3,3,3,VR
35,LVHA,5,2,5,FS
36,LVHA,5,5,1,VR
37,LVHA,4,2,2,FS
38,LVHA,5,2,2,VR
39,LVHA,3,3,4,FS
40,LVHA,3,4,3,FS
41,LVHA,5,4,2,VR
42,LVHA,5,4,2,VR
43,LVHA,3,3,3,FS
44,LVHA,2,4,4,FS
45,LVHA,4,3,3,VR
46,LVHA,3,3,4,FS
47,LVHA,5,2,2,VR
48,LVHA,3,4,3,VR
49,LVLA,2,3,2,FS
50,LVLA,2,1,3,VR
51,LVLA,2,3,3,FS
52,LVLA,1,2,4,VR
53,LVLA,2,3,3,FS
54,LVLA,2,4,4,VR
55,LVLA,2,5,1,FS
56,LVLA,1,5,1,VR
57,LVLA,2,2,2,FS
58,LVLA,3,4,1,VR
59,LVLA,2,3,3,FS
60,LVLA,1,3,2,VR
61,LVLA,3,5,3,FS
62,LVLA,2,2,5,VR
63,LVLA,3,4,3,FS
64,LVLA,3,4,4,FS
65,LVLA,2,2,4,VR
66,LVLA,4,4,3,VR
